Date,Team1,Team2,Venue,Toss_Winner,Toss_Decision,Winner,Umpire1,Umpire2
2017-08-27 03:00:43,Sunrisers Hyderabad,Delhi Capitals,Wankhede Stadium,Delhi Capitals,field,Delhi Capitals,Umpire7,Umpire5
2020-08-13 11:16:44,Lucknow Super Giants,Mumbai Indians,Wankhede Stadium,Lucknow Super Giants,field,Mumbai Indians,Umpire13,Umpire14
2019-09-23 11:05:01,Kolkata Knight Riders,Gujarat Titans,Wankhede Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire11,Umpire16
2012-06-25 15:25:48,Sunrisers Hyderabad,Kolkata Knight Riders,Wankhede Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umpire13,Umpire4
2008-11-28 06:53:13,Kings XI Punjab,Lucknow Super Giants,Eden Gardens,Lucknow Super Giants,field,Kings XI Punjab,Umpire18,Umpire17
2022-07-29 05:45:26,Delhi Capitals,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,bat,Delhi Capitals,Umpire12,Umpire2
2014-04-24 08:04:07,Gujarat Titans,Royal Challengers Bangalore,Eden Gardens,Gujarat Titans,field,Royal Challengers Bangalore,Umpire20,Umpire3
2007-06-02 11:47:51,Rajasthan Royals,Delhi Capitals,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire12,Umpire20
2021-03-15 02:51:35,Rajasthan Royals,Delhi Capitals,Arun Jaitley Stadium,Rajasthan Royals,field,Rajasthan Royals,Umpire11,Umpire15
2008-05-21 02:32:10,Lucknow Super Giants,Kings XI Punjab,Wankhede Stadium,Lucknow Super Giants,bat,Kings XI Punjab,Umpire4,Umpire10
2017-07-28 04:24:22,Lucknow Super Giants,Kings XI Punjab,M. Chinnaswamy Stadium,Lucknow Super Giants,field,Kings XI Punjab,Umpire10,Umpire6
2010-11-19 00:53:03,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,field,Kolkata Knight Riders,Umpire9,Umpire5
2023-02-24 11:24:48,Lucknow Super Giants,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Umpire20,Umpire12
2012-05-19 04:40:54,Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,Mumbai Indians,field,Mumbai Indians,Umpire18,Umpire19
2018-04-23 18:12:17,Delhi Capitals,Kolkata Knight Riders,M. Chinnaswamy Stadium,Delhi Capitals,field,Kolkata Knight Riders,Umpire1,Umpire4
2014-02-15 21:31:09,Sunrisers Hyderabad,Delhi Capitals,M. Chinnaswamy Stadium,Delhi Capitals,bat,Delhi Capitals,Umpire13,Umpire20
2009-06-03 09:17:09,Royal Challengers Bangalore,Kings XI Punjab,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Kings XI Punjab,Umpire17,Umpire1
2013-11-13 13:24:10,Lucknow Super Giants,Mumbai Indians,M. Chinnaswamy Stadium,Lucknow Super Giants,field,Lucknow Super Giants,Umpire8,Umpire1
2018-03-28 15:27:13,Chennai Super Kings,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Umpire15,Umpire12
2008-06-30 16:03:19,Rajasthan Royals,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,field,Lucknow Super Giants,Umpire14,Umpire14
2008-03-23 09:39:29,Chennai Super Kings,Kings XI Punjab,Arun Jaitley Stadium,Chennai Super Kings,field,Chennai Super Kings,Umpire19,Umpire11
2014-07-05 11:00:02,Kings XI Punjab,Lucknow Super Giants,Arun Jaitley Stadium,Kings XI Punjab,bat,Lucknow Super Giants,Umpire8,Umpire17
2009-09-28 05:38:16,Lucknow Super Giants,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umpire15,Umpire13
2007-04-16 18:58:12,Chennai Super Kings,Rajasthan Royals,Eden Gardens,Rajasthan Royals,field,Chennai Super Kings,Umpire2,Umpire5
2018-12-20 20:04:45,Gujarat Titans,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,Chennai Super Kings,Umpire15,Umpire15
2019-09-25 22:42:12,Lucknow Super Giants,Royal Challengers Bangalore,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,Lucknow Super Giants,Umpire15,Umpire14
2014-12-11 14:17:49,Rajasthan Royals,Delhi Capitals,Wankhede Stadium,Rajasthan Royals,field,Delhi Capitals,Umpire20,Umpire11
2011-08-25 15:36:15,Sunrisers Hyderabad,Gujarat Titans,Wankhede Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umpire19,Umpire13
2019-02-24 09:32:38,Chennai Super Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,Chennai Super Kings,Umpire11,Umpire7
2015-11-21 06:07:11,Royal Challengers Bangalore,Kolkata Knight Riders,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire10,Umpire13
2018-06-12 00:01:10,Gujarat Titans,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,Gujarat Titans,Umpire13,Umpire16
2009-07-14 09:25:43,Kolkata Knight Riders,Gujarat Titans,Arun Jaitley Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,Umpire11,Umpire20
2014-03-02 10:51:59,Kings XI Punjab,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,field,Rajasthan Royals,Umpire8,Umpire9
2010-10-15 14:27:17,Rajasthan Royals,Delhi Capitals,Wankhede Stadium,Delhi Capitals,field,Delhi Capitals,Umpire5,Umpire16
2013-09-29 09:32:23,Kolkata Knight Riders,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,bat,Delhi Capitals,Umpire15,Umpire3
2013-12-14 22:00:01,Royal Challengers Bangalore,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,bat,Kings XI Punjab,Umpire10,Umpire3
2008-09-12 23:26:54,Lucknow Super Giants,Mumbai Indians,Eden Gardens,Mumbai Indians,bat,Mumbai Indians,Umpire8,Umpire17
2012-08-20 06:55:27,Mumbai Indians,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,bat,Mumbai Indians,Umpire10,Umpire2
2017-01-18 05:23:26,Mumbai Indians,Rajasthan Royals,M. Chinnaswamy Stadium,Mumbai Indians,field,Rajasthan Royals,Umpire18,Umpire13
2011-07-06 02:18:25,Delhi Capitals,Kings XI Punjab,Arun Jaitley Stadium,Kings XI Punjab,bat,Delhi Capitals,Umpire13,Umpire6
2021-06-19 20:22:26,Royal Challengers Bangalore,Gujarat Titans,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire15,Umpire19
2013-01-15 02:17:56,Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,Gujarat Titans,bat,Gujarat Titans,Umpire11,Umpire8
2018-04-01 15:31:34,Kolkata Knight Riders,Chennai Super Kings,Wankhede Stadium,Kolkata Knight Riders,field,Chennai Super Kings,Umpire13,Umpire20
2014-07-08 06:01:16,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,Mumbai Indians,bat,Mumbai Indians,Umpire15,Umpire3
2017-10-01 05:36:34,Gujarat Titans,Rajasthan Royals,Arun Jaitley Stadium,Gujarat Titans,bat,Gujarat Titans,Umpire5,Umpire14
2019-05-26 12:36:54,Kolkata Knight Riders,Gujarat Titans,Eden Gardens,Kolkata Knight Riders,field,Gujarat Titans,Umpire4,Umpire7
2018-09-23 01:28:55,Sunrisers Hyderabad,Delhi Capitals,Eden Gardens,Delhi Capitals,field,Delhi Capitals,Umpire8,Umpire11
2015-12-04 23:29:38,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,Mumbai Indians,bat,Rajasthan Royals,Umpire1,Umpire13
2015-05-25 06:33:02,Sunrisers Hyderabad,Mumbai Indians,M. Chinnaswamy Stadium,Mumbai Indians,field,Sunrisers Hyderabad,Umpire5,Umpire12
2015-07-26 01:27:04,Mumbai Indians,Sunrisers Hyderabad,Eden Gardens,Mumbai Indians,field,Sunrisers Hyderabad,Umpire2,Umpire12
2019-09-02 00:29:26,Royal Challengers Bangalore,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,bat,Gujarat Titans,Umpire3,Umpire12
2012-07-01 15:44:35,Gujarat Titans,Royal Challengers Bangalore,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Gujarat Titans,Umpire9,Umpire16
2007-08-18 20:35:07,Kings XI Punjab,Gujarat Titans,M. Chinnaswamy Stadium,Kings XI Punjab,bat,Kings XI Punjab,Umpire12,Umpire10
2024-05-14 18:37:13,Delhi Capitals,Lucknow Super Giants,M. Chinnaswamy Stadium,Lucknow Super Giants,bat,Delhi Capitals,Umpire11,Umpire15
2007-05-06 13:53:55,Mumbai Indians,Kolkata Knight Riders,M. Chinnaswamy Stadium,Mumbai Indians,bat,Mumbai Indians,Umpire8,Umpire2
2024-04-09 09:07:27,Gujarat Titans,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,field,Gujarat Titans,Umpire6,Umpire13
2015-08-20 10:53:45,Delhi Capitals,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Delhi Capitals,bat,Royal Challengers Bangalore,Umpire3,Umpire9
2011-12-02 12:10:26,Rajasthan Royals,Mumbai Indians,Eden Gardens,Rajasthan Royals,field,Mumbai Indians,Umpire8,Umpire16
2016-03-22 23:36:59,Chennai Super Kings,Mumbai Indians,Eden Gardens,Chennai Super Kings,bat,Mumbai Indians,Umpire14,Umpire8
2010-03-16 14:13:55,Rajasthan Royals,Mumbai Indians,Arun Jaitley Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire2,Umpire20
2010-08-29 20:37:08,Kings XI Punjab,Lucknow Super Giants,M. Chinnaswamy Stadium,Kings XI Punjab,bat,Lucknow Super Giants,Umpire9,Umpire2
2013-12-17 14:03:55,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,Umpire13,Umpire19
2015-05-01 07:46:11,Kolkata Knight Riders,Mumbai Indians,M. Chinnaswamy Stadium,Mumbai Indians,field,Mumbai Indians,Umpire16,Umpire2
2007-07-10 19:09:29,Royal Challengers Bangalore,Delhi Capitals,M. Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Delhi Capitals,Umpire14,Umpire15
2020-03-25 14:47:28,Delhi Capitals,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Delhi Capitals,bat,Delhi Capitals,Umpire10,Umpire9
2024-05-23 18:37:33,Lucknow Super Giants,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire15,Umpire3
2014-08-15 09:27:47,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,bat,Mumbai Indians,Umpire12,Umpire7
2010-12-30 08:19:05,Sunrisers Hyderabad,Gujarat Titans,Arun Jaitley Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umpire10,Umpire12
2014-04-26 15:17:41,Sunrisers Hyderabad,Kings XI Punjab,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umpire18,Umpire16
2013-10-11 03:29:35,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire13,Umpire9
2008-05-14 07:31:20,Gujarat Titans,Sunrisers Hyderabad,Wankhede Stadium,Gujarat Titans,bat,Gujarat Titans,Umpire13,Umpire10
2013-05-24 07:09:07,Kings XI Punjab,Rajasthan Royals,M. Chinnaswamy Stadium,Kings XI Punjab,field,Rajasthan Royals,Umpire13,Umpire3
2009-11-13 01:54:25,Kings XI Punjab,Delhi Capitals,Eden Gardens,Kings XI Punjab,field,Delhi Capitals,Umpire16,Umpire14
2024-05-09 16:04:18,Kolkata Knight Riders,Delhi Capitals,Eden Gardens,Kolkata Knight Riders,field,Delhi Capitals,Umpire2,Umpire5
2011-11-09 00:52:09,Lucknow Super Giants,Delhi Capitals,M. Chinnaswamy Stadium,Delhi Capitals,bat,Lucknow Super Giants,Umpire11,Umpire8
2022-12-06 06:30:05,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,Umpire6,Umpire3
2022-05-29 01:58:38,Mumbai Indians,Chennai Super Kings,Arun Jaitley Stadium,Mumbai Indians,bat,Chennai Super Kings,Umpire4,Umpire8
2014-11-16 04:26:46,Mumbai Indians,Royal Challengers Bangalore,Eden Gardens,Mumbai Indians,bat,Royal Challengers Bangalore,Umpire18,Umpire14
2015-09-16 17:26:12,Rajasthan Royals,Royal Challengers Bangalore,Wankhede Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire8,Umpire19
2013-12-24 22:10:34,Delhi Capitals,Chennai Super Kings,M. Chinnaswamy Stadium,Delhi Capitals,field,Delhi Capitals,Umpire20,Umpire20
2013-06-14 02:14:01,Rajasthan Royals,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,field,Rajasthan Royals,Umpire1,Umpire6
2011-02-11 14:40:02,Gujarat Titans,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,field,Gujarat Titans,Umpire4,Umpire1
2024-05-06 21:50:46,Royal Challengers Bangalore,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire20,Umpire7
2015-06-30 09:04:34,Kings XI Punjab,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,Umpire20,Umpire11
2008-08-12 04:26:27,Gujarat Titans,Rajasthan Royals,Eden Gardens,Rajasthan Royals,bat,Rajasthan Royals,Umpire20,Umpire14
2012-05-16 14:13:04,Lucknow Super Giants,Kings XI Punjab,M. Chinnaswamy Stadium,Lucknow Super Giants,bat,Lucknow Super Giants,Umpire5,Umpire2
2008-01-23 10:38:18,Lucknow Super Giants,Mumbai Indians,Eden Gardens,Lucknow Super Giants,bat,Lucknow Super Giants,Umpire3,Umpire7
2014-05-30 19:52:12,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire6,Umpire8
2014-05-26 19:57:02,Kolkata Knight Riders,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Umpire2,Umpire14
2016-09-08 22:35:51,Chennai Super Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Chennai Super Kings,bat,Sunrisers Hyderabad,Umpire12,Umpire20
2009-08-23 11:06:43,Kings XI Punjab,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,field,Rajasthan Royals,Umpire6,Umpire6
2021-08-19 00:01:44,Royal Challengers Bangalore,Mumbai Indians,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Mumbai Indians,Umpire12,Umpire20
2019-12-14 16:12:26,Lucknow Super Giants,Kings XI Punjab,Wankhede Stadium,Lucknow Super Giants,bat,Lucknow Super Giants,Umpire16,Umpire19
2013-01-04 04:45:04,Kings XI Punjab,Chennai Super Kings,M. Chinnaswamy Stadium,Kings XI Punjab,bat,Kings XI Punjab,Umpire8,Umpire19
2016-08-11 08:20:24,Lucknow Super Giants,Gujarat Titans,Eden Gardens,Gujarat Titans,field,Gujarat Titans,Umpire1,Umpire9
2024-03-26 02:54:44,Lucknow Super Giants,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire20,Umpire9
2024-04-21 19:25:25,Delhi Capitals,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,Delhi Capitals,Umpire18,Umpire1
2018-01-23 06:03:37,Kings XI Punjab,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,Umpire3,Umpire3
2016-03-09 08:41:32,Delhi Capitals,Rajasthan Royals,Eden Gardens,Rajasthan Royals,bat,Rajasthan Royals,Umpire3,Umpire13
2011-04-02 18:34:38,Chennai Super Kings,Sunrisers Hyderabad,Eden Gardens,Chennai Super Kings,bat,Chennai Super Kings,Umpire2,Umpire17
2017-03-12 05:57:37,Chennai Super Kings,Delhi Capitals,Eden Gardens,Delhi Capitals,field,Delhi Capitals,Umpire9,Umpire14
2013-07-06 16:39:48,Rajasthan Royals,Lucknow Super Giants,M. Chinnaswamy Stadium,Rajasthan Royals,field,Lucknow Super Giants,Umpire2,Umpire3
2013-06-24 05:29:41,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,Umpire9,Umpire1
2012-01-29 16:35:49,Chennai Super Kings,Delhi Capitals,Eden Gardens,Chennai Super Kings,field,Chennai Super Kings,Umpire18,Umpire19
2009-04-27 22:21:23,Rajasthan Royals,Mumbai Indians,M. Chinnaswamy Stadium,Rajasthan Royals,field,Mumbai Indians,Umpire3,Umpire2
2020-01-29 11:39:58,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,bat,Mumbai Indians,Umpire3,Umpire5
2022-07-17 10:08:12,Gujarat Titans,Chennai Super Kings,M. Chinnaswamy Stadium,Gujarat Titans,field,Chennai Super Kings,Umpire7,Umpire10
2013-04-12 14:59:55,Mumbai Indians,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Mumbai Indians,bat,Sunrisers Hyderabad,Umpire5,Umpire15
2009-07-15 03:07:09,Sunrisers Hyderabad,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Umpire4,Umpire3
2015-07-03 08:14:40,Delhi Capitals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Delhi Capitals,field,Sunrisers Hyderabad,Umpire2,Umpire11
2011-11-21 09:07:23,Royal Challengers Bangalore,Delhi Capitals,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire20,Umpire15
2014-11-16 15:21:59,Lucknow Super Giants,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire1,Umpire20
2021-08-28 18:00:16,Royal Challengers Bangalore,Rajasthan Royals,Eden Gardens,Rajasthan Royals,field,Rajasthan Royals,Umpire9,Umpire20
2021-03-24 14:24:20,Kings XI Punjab,Rajasthan Royals,Eden Gardens,Rajasthan Royals,field,Kings XI Punjab,Umpire7,Umpire20
2010-06-09 00:44:41,Lucknow Super Giants,Delhi Capitals,Eden Gardens,Delhi Capitals,field,Delhi Capitals,Umpire7,Umpire3
2018-05-29 05:39:56,Royal Challengers Bangalore,Rajasthan Royals,Eden Gardens,Rajasthan Royals,field,Rajasthan Royals,Umpire15,Umpire17
2009-05-20 12:17:47,Royal Challengers Bangalore,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,field,Royal Challengers Bangalore,Umpire2,Umpire20
2016-06-17 01:41:59,Kings XI Punjab,Delhi Capitals,Wankhede Stadium,Delhi Capitals,bat,Delhi Capitals,Umpire20,Umpire13
2020-12-16 01:49:42,Rajasthan Royals,Chennai Super Kings,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire14,Umpire11
2020-03-23 12:19:55,Royal Challengers Bangalore,Chennai Super Kings,Eden Gardens,Chennai Super Kings,field,Royal Challengers Bangalore,Umpire11,Umpire3
2010-12-16 23:07:53,Chennai Super Kings,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,field,Lucknow Super Giants,Umpire1,Umpire19
2023-12-04 01:37:58,Delhi Capitals,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,Delhi Capitals,Umpire12,Umpire8
2008-03-11 16:55:46,Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,Mumbai Indians,bat,Delhi Capitals,Umpire4,Umpire1
2022-06-05 06:46:05,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,Kings XI Punjab,field,Mumbai Indians,Umpire5,Umpire16
2020-04-27 22:02:27,Rajasthan Royals,Kings XI Punjab,Wankhede Stadium,Rajasthan Royals,field,Kings XI Punjab,Umpire13,Umpire4
2016-08-02 22:19:52,Delhi Capitals,Kings XI Punjab,Arun Jaitley Stadium,Delhi Capitals,bat,Delhi Capitals,Umpire3,Umpire12
2023-11-12 11:50:56,Royal Challengers Bangalore,Chennai Super Kings,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Umpire13,Umpire9
2014-01-13 03:31:54,Sunrisers Hyderabad,Kolkata Knight Riders,M. Chinnaswamy Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire7,Umpire9
2014-02-02 08:35:06,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,Chennai Super Kings,Umpire16,Umpire9
2014-10-12 18:07:25,Rajasthan Royals,Gujarat Titans,Wankhede Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire4,Umpire2
2016-07-03 23:52:44,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,bat,Mumbai Indians,Umpire8,Umpire7
2008-07-03 06:37:19,Kings XI Punjab,Delhi Capitals,M. Chinnaswamy Stadium,Kings XI Punjab,field,Delhi Capitals,Umpire1,Umpire17
2015-06-20 20:58:10,Kolkata Knight Riders,Delhi Capitals,Eden Gardens,Delhi Capitals,bat,Delhi Capitals,Umpire11,Umpire3
2007-12-14 11:58:53,Rajasthan Royals,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,field,Kings XI Punjab,Umpire5,Umpire2
2010-09-17 15:21:37,Chennai Super Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire7,Umpire15
2009-09-05 05:47:59,Delhi Capitals,Kings XI Punjab,M. Chinnaswamy Stadium,Kings XI Punjab,field,Kings XI Punjab,Umpire11,Umpire9
2019-05-15 20:15:08,Lucknow Super Giants,Sunrisers Hyderabad,Wankhede Stadium,Lucknow Super Giants,bat,Sunrisers Hyderabad,Umpire18,Umpire7
2019-12-15 18:17:58,Lucknow Super Giants,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,bat,Delhi Capitals,Umpire16,Umpire1
2020-12-21 17:47:46,Gujarat Titans,Delhi Capitals,Wankhede Stadium,Delhi Capitals,field,Gujarat Titans,Umpire19,Umpire19
2020-08-28 13:11:00,Kings XI Punjab,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Umpire11,Umpire3
2022-12-28 21:14:59,Kolkata Knight Riders,Sunrisers Hyderabad,Arun Jaitley Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,Umpire2,Umpire8
2017-01-10 01:40:24,Mumbai Indians,Lucknow Super Giants,Arun Jaitley Stadium,Mumbai Indians,field,Lucknow Super Giants,Umpire3,Umpire11
2022-08-18 08:20:43,Kolkata Knight Riders,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,bat,Lucknow Super Giants,Umpire8,Umpire15
2016-02-21 13:22:08,Kings XI Punjab,Mumbai Indians,M. Chinnaswamy Stadium,Kings XI Punjab,field,Mumbai Indians,Umpire10,Umpire4
2015-11-11 15:37:09,Mumbai Indians,Kings XI Punjab,Arun Jaitley Stadium,Kings XI Punjab,bat,Mumbai Indians,Umpire4,Umpire14
2017-02-04 04:25:59,Chennai Super Kings,Delhi Capitals,M. Chinnaswamy Stadium,Delhi Capitals,field,Delhi Capitals,Umpire20,Umpire15
2017-04-01 03:52:32,Chennai Super Kings,Delhi Capitals,Eden Gardens,Chennai Super Kings,bat,Delhi Capitals,Umpire2,Umpire3
2012-06-02 12:22:44,Chennai Super Kings,Delhi Capitals,M. Chinnaswamy Stadium,Chennai Super Kings,bat,Delhi Capitals,Umpire1,Umpire7
2010-08-22 22:18:06,Mumbai Indians,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umpire15,Umpire12
2017-01-26 00:01:25,Mumbai Indians,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,Mumbai Indians,Umpire10,Umpire17
2014-11-02 17:21:52,Kolkata Knight Riders,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,field,Chennai Super Kings,Umpire1,Umpire6
2011-08-23 16:04:46,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,bat,Sunrisers Hyderabad,Umpire3,Umpire3
2014-03-12 02:30:09,Rajasthan Royals,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,field,Rajasthan Royals,Umpire5,Umpire20
2017-09-02 10:01:50,Kolkata Knight Riders,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,bat,Gujarat Titans,Umpire20,Umpire20
2008-03-19 23:01:53,Chennai Super Kings,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,field,Chennai Super Kings,Umpire20,Umpire18
2022-09-08 19:26:10,Kolkata Knight Riders,Lucknow Super Giants,M. Chinnaswamy Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,Umpire8,Umpire1
2015-07-06 18:10:25,Lucknow Super Giants,Delhi Capitals,Wankhede Stadium,Delhi Capitals,field,Lucknow Super Giants,Umpire9,Umpire7
2011-05-09 10:49:41,Lucknow Super Giants,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire3,Umpire19
2008-06-12 16:27:07,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire15,Umpire3
2019-01-22 08:36:39,Gujarat Titans,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,bat,Gujarat Titans,Umpire10,Umpire9
2007-09-09 10:06:26,Gujarat Titans,Lucknow Super Giants,M. Chinnaswamy Stadium,Lucknow Super Giants,bat,Lucknow Super Giants,Umpire12,Umpire9
2010-09-06 18:18:01,Kolkata Knight Riders,Kings XI Punjab,M. Chinnaswamy Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire2,Umpire12
2020-09-04 20:15:43,Mumbai Indians,Rajasthan Royals,Eden Gardens,Rajasthan Royals,bat,Mumbai Indians,Umpire3,Umpire9
2015-11-15 06:28:04,Kings XI Punjab,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire15,Umpire19
2008-02-27 15:16:54,Delhi Capitals,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,field,Delhi Capitals,Umpire11,Umpire8
2010-11-25 00:45:57,Chennai Super Kings,Kings XI Punjab,Wankhede Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire11,Umpire13
2016-09-29 11:11:17,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,field,Mumbai Indians,Umpire4,Umpire19
2011-11-06 00:44:08,Kolkata Knight Riders,Mumbai Indians,Arun Jaitley Stadium,Mumbai Indians,field,Mumbai Indians,Umpire5,Umpire5
2017-04-28 06:06:18,Gujarat Titans,Chennai Super Kings,Eden Gardens,Gujarat Titans,field,Gujarat Titans,Umpire16,Umpire20
2020-07-22 16:40:43,Sunrisers Hyderabad,Kings XI Punjab,Arun Jaitley Stadium,Kings XI Punjab,bat,Kings XI Punjab,Umpire14,Umpire9
2023-06-24 21:13:32,Rajasthan Royals,Royal Challengers Bangalore,Arun Jaitley Stadium,Rajasthan Royals,bat,Royal Challengers Bangalore,Umpire12,Umpire8
2016-11-16 19:17:56,Gujarat Titans,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,field,Rajasthan Royals,Umpire2,Umpire2
